Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,833123,-,-,-,42.53,-90.7,-6,236,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.0.6
Year,Month,Day,Hour,Minute,GHI,DHI,DNI,Wind Speed,Temperature,Solar Zenith Angle,Pressure,Dew Point
2013,1,1,0,30,0,0,0,2.3000000000000003,-17,159.84,990,-19
2013,1,1,1,30,0,0,0,2.1,-19,153.85,990,-21
2013,1,1,2,30,0,0,0,2.1,-21,144.43,990,-23
2013,1,1,3,30,0,0,0,2.1,-22,133.77,990,-24
2013,1,1,4,30,0,0,0,2.1,-22,122.74000000000001,990,-25
2013,1,1,5,30,0,0,0,2.1,-23,111.79,990,-26
2013,1,1,6,30,0,0,0,2.1,-23,101.19,990,-26
2013,1,1,7,30,0,0,0,2.6,-22,91.25,990,-26
2013,1,1,8,30,120,37,619,3.1,-20,82.29,990,-24
2013,1,1,9,30,271,55,819,2.7,-18,74.76,990,-21
2013,1,1,10,30,388,66,905,2,-15,69.16,990,-19
2013,1,1,11,30,453,70,943,1.7000000000000002,-13,66.01,990,-17
2013,1,1,12,30,459,69,948,1.6,-12,65.69,990,-16
2013,1,1,13,30,405,64,920,1.8,-11,68.23,990,-15
2013,1,1,14,30,298,55,849,1.7000000000000002,-11,73.33,990,-15
2013,1,1,15,30,153,39,688,1.4000000000000001,-13,80.48,990,-15
2013,1,1,16,30,0,0,0,1.5,-16,89.15,990,-18
2013,1,1,17,30,0,0,0,1.7000000000000002,-18,98.91,990,-21
