Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,555618,-,-,-,34.21,-102.26,-6,1134,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.0.6
Year,Month,Day,Hour,Minute,GHI,DHI,DNI,Wind Speed,Temperature,Solar Zenith Angle,Pressure,Dew Point
2013,1,1,0,30,0,0,0,1.6,-5,167.73,880,-7
2013,1,1,1,30,0,0,0,1.3,-6,166.1,880,-7
2013,1,1,2,30,0,0,0,1,-6,155.94,880,-8
2013,1,1,3,30,0,0,0,1,-6,143.93,880,-8
2013,1,1,4,30,0,0,0,1.1,-7,131.55,880,-8
2013,1,1,5,30,0,0,0,1.4000000000000001,-7,119.22,890,-8
2013,1,1,6,30,0,0,0,1.8,-7,107.13,890,-8
2013,1,1,7,30,0,0,0,2,-6,95.51,890,-9
2013,1,1,8,30,46,33,133,2.3000000000000003,-5,84.59,890,-9
2013,1,1,9,30,250,65,702,2.4000000000000004,-3,74.74,890,-8
2013,1,1,10,30,331,130,503,2.1,-1,66.46000000000001,890,-7
2013,1,1,11,30,533,90,898,1.6,0,60.44,890,-7
2013,1,1,12,30,594,87,941,1.8,0,57.4,890,-7
2013,1,1,13,30,587,85,942,2.3000000000000003,1,57.82,890,-6
2013,1,1,14,30,515,79,919,2.4000000000000004,2,61.620000000000005,890,-6
2013,1,1,15,30,287,132,420,2,1,68.24,890,-6
2013,1,1,16,30,174,61,497,1.3,0,76.95,890,-6
2013,1,1,17,30,36,20,321,1.1,-2,87.09,890,-7
2013,1,1,18,30,0,0,0,1.2000000000000002,-3,98.2,890,-8
2013,1,1,19,30,0,0,0,1.2000000000000002,-4,109.96000000000001,890,-8
2013,1,1,20,30,0,0,0,1.1,-4,122.12,890,-8
2013,1,1,21,30,0,0,0,0.9,-4,134.48,890,-8
2013,1,1,22,30,0,0,0,0.8,-5,146.82,890,-8
2013,1,1,23,30,0,0,0,0.7000000000000001,-5,158.6,890,-8
2013,1,2,0,30,0,0,0,0.7000000000000001,-5,167.6,890,-8
2013,1,2,1,30,0,0,0,0.7000000000000001,-5,166.09,890,-8
2013,1,2,2,30,0,0,0,0.9,-6,155.98,890,-8
2013,1,2,3,30,0,0,0,1.1,-6,143.98,890,-8
2013,1,2,4,30,0,0,0,1.1,-6,131.61,890,-8
2013,1,2,5,30,0,0,0,1.1,-6,119.27,890,-8
2013,1,2,6,30,0,0,0,1.1,-6,107.18,890,-9
2013,1,2,7,30,0,0,0,1.5,-5,95.54,890,-9
2013,1,2,8,30,76,28,511,2,-3,84.61,890,-9
2013,1,2,9,30,263,51,805,2,-1,74.74,890,-8
2013,1,2,10,30,430,63,918,1.7000000000000002,1,66.44,890,-8
2013,1,2,11,30,549,70,969,1.7000000000000002,3,60.39,890,-9
2013,1,2,12,30,607,74,986,1.8,4,57.32,890,-9
2013,1,2,13,30,599,74,981,1.9000000000000001,5,57.71,890,-9
2013,1,2,14,30,525,71,951,2,4,61.5,890,-9
2013,1,2,15,30,393,64,881,1.8,3,68.11,890,-9
2013,1,2,16,30,218,51,730,1.4000000000000001,1,76.8,890,-7
2013,1,2,17,30,38,20,327,1.5,-2,86.94,890,-8
2013,1,2,18,30,0,0,0,1.8,-3,98.06,890,-9
2013,1,2,19,30,0,0,0,2.1,-3,109.82000000000001,890,-9
2013,1,2,20,30,0,0,0,2.3000000000000003,-4,121.98,890,-9
2013,1,2,21,30,0,0,0,2.2,-4,134.35,890,-9
2013,1,2,22,30,0,0,0,2.1,-4,146.68,890,-9
2013,1,2,23,30,0,0,0,1.9000000000000001,-5,158.46,890,-8
2013,1,3,0,30,0,0,0,1.7000000000000002,-5,167.47,890,-8
2013,1,3,1,30,0,0,0,1.5,-5,166.07,890,-8
2013,1,3,2,30,0,0,0,1.4000000000000001,-5,156.02,890,-7
2013,1,3,3,30,0,0,0,1.2000000000000002,-5,144.03,890,-7
2013,1,3,4,30,0,0,0,1.2000000000000002,-5,131.66,890,-7
2013,1,3,5,30,0,0,0,1.2000000000000002,-5,119.32000000000001,890,-7
2013,1,3,6,30,0,0,0,1.4000000000000001,-5,107.22,890,-7
2013,1,3,7,30,0,0,0,2.1,-4,95.57000000000001,890,-7
2013,1,3,8,30,42,33,93,2.7,-3,84.63,890,-7
2013,1,3,9,30,182,93,338,2.9000000000000004,-1,74.74,890,-7
