Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,912252,-,-,-,41.61,-87.22,-6,184,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.0.6
Year,Month,Day,Hour,Minute,GHI,DHI,DNI,Wind Speed,Temperature,Solar Zenith Angle,Pressure,Dew Point
2013,1,1,0,30,0,0,0,3.1,-4,159.78,990,-7
2013,1,1,1,30,0,0,0,2.9000000000000004,-4,152.39000000000001,990,-7
2013,1,1,2,30,0,0,0,2.9000000000000004,-4,142.3,990,-7
2013,1,1,3,30,0,0,0,3,-5,131.31,990,-7
2013,1,1,4,30,0,0,0,3.1,-5,120.11,990,-7
2013,1,1,5,30,0,0,0,3.2,-5,109.06,990,-7
2013,1,1,6,30,0,0,0,3.5,-5,98.45,990,-7
2013,1,1,7,30,17,14,127,3.9000000000000004,-4,88.56,990,-7
2013,1,1,8,30,157,54,579,4,-3,79.77,990,-7
2013,1,1,9,30,303,76,754,3.4000000000000004,-2,72.51,990,-7
2013,1,1,10,30,329,113,559,3,-2,67.33,990,-8
2013,1,1,11,30,161,156,12,2.9000000000000004,-2,64.76,990,-8
2013,1,1,12,30,344,135,496,3.1,-2,65.12,990,-9
2013,1,1,13,30,394,78,857,3.2,-2,68.36,990,-9
2013,1,1,14,30,277,62,784,3.2,-2,74.09,990,-10
2013,1,1,15,30,126,40,605,2.6,-4,81.77,990,-10
2013,1,1,16,30,0,0,0,2.2,-5,90.87,990,-10
2013,1,1,17,30,0,0,0,2.3000000000000003,-6,100.96000000000001,990,-11
2013,1,1,18,30,0,0,0,2.4000000000000004,-7,111.7,990,-11
2013,1,1,19,30,0,0,0,2.5,-7,122.81,990,-11
2013,1,1,20,30,0,0,0,2.4000000000000004,-8,133.99,990,-12
2013,1,1,21,30,0,0,0,2.3000000000000003,-9,144.85,990,-12
2013,1,1,22,30,0,0,0,2.2,-9,154.5,990,-12
2013,1,1,23,30,0,0,0,2.1,-9,160.68,990,-12
2013,1,2,0,30,0,0,0,2,-10,159.73,990,-13
2013,1,2,1,30,0,0,0,1.9000000000000001,-10,152.4,990,-13
2013,1,2,2,30,0,0,0,1.9000000000000001,-10,142.33,990,-13
2013,1,2,3,30,0,0,0,1.8,-10,131.34,990,-13
2013,1,2,4,30,0,0,0,1.7000000000000002,-10,120.14,990,-13
2013,1,2,5,30,0,0,0,1.5,-10,109.09,990,-12
2013,1,2,6,30,0,0,0,1.6,-9,98.47,1000,-12
2013,1,2,7,30,17,12,182,2,-8,88.57000000000001,1000,-12
2013,1,2,8,30,153,46,598,2.5,-7,79.76,1000,-12
2013,1,2,9,30,292,63,760,2.9000000000000004,-5,72.48,1000,-12
2013,1,2,10,30,393,71,833,3.2,-4,67.27,1000,-11
2013,1,2,11,30,443,75,861,3.5,-3,64.68,990,-11
2013,1,2,12,30,437,73,860,3.8000000000000003,-2,65.02,990,-10
2013,1,2,13,30,374,67,826,3.9000000000000004,-1,68.24,990,-9
2013,1,2,14,30,262,57,742,3.9000000000000004,-1,73.96000000000001,990,-9
2013,1,2,15,30,118,39,539,3.3000000000000003,-2,81.63,990,-8
2013,1,2,16,30,0,0,0,3.2,-3,90.73,990,-8
2013,1,2,17,30,0,0,0,3.7,-4,100.82000000000001,990,-8
2013,1,2,18,30,0,0,0,4,-5,111.56,990,-8
2013,1,2,19,30,0,0,0,4.1000000000000005,-5,122.67,990,-8
2013,1,2,20,30,0,0,0,4.3,-6,133.85,990,-7
2013,1,2,21,30,0,0,0,4.3,-6,144.70000000000002,990,-7
2013,1,2,22,30,0,0,0,4.3,-6,154.36,990,-7
2013,1,2,23,30,0,0,0,4.3,-6,160.56,990,-7
2013,1,3,0,30,0,0,0,4.3,-6,159.68,990,-7
2013,1,3,1,30,0,0,0,4.3,-6,152.4,990,-7
2013,1,3,2,30,0,0,0,4.3,-5,142.35,990,-7
2013,1,3,3,30,0,0,0,4.1000000000000005,-5,131.37,990,-6
2013,1,3,4,30,0,0,0,3.8000000000000003,-5,120.17,990,-6
2013,1,3,5,30,0,0,0,3.6,-4,109.12,990,-6
2013,1,3,6,30,0,0,0,3.8000000000000003,-4,98.49000000000001,990,-5
2013,1,3,7,30,14,12,70,4.4,-3,88.57000000000001,990,-5
2013,1,3,8,30,21,21,0,5,-1,79.74,990,-4
2013,1,3,9,30,31,31,0,5.4,0,72.44,990,-4
2013,1,3,10,30,84,84,0,5.6000000000000005,0,67.21000000000001,990,-4
2013,1,3,11,30,68,68,0,5.6000000000000005,0,64.59,990,-4
2013,1,3,12,30,71,71,0,5.5,0,64.9,990,-5
2013,1,3,13,30,56,56,0,5.4,0,68.11,990,-5
2013,1,3,14,30,55,55,0,5.1000000000000005,0,73.82000000000001,990,-5
2013,1,3,15,30,47,47,0,4.7,0,81.49,1000,-5
