Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,782623,-,-,-,47.49,-93.02,-6,456,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.0.6
Year,Month,Day,Hour,Minute,GHI,DHI,DNI,Wind Speed,Temperature,Solar Zenith Angle,Pressure,Dew Point
2013,1,1,0,30,0,0,0,1.6,-23,155.32,960,-24
2013,1,1,1,30,0,0,0,1.7000000000000002,-24,151.33,960,-25
2013,1,1,2,30,0,0,0,1.8,-24,143.71,960,-25
2013,1,1,3,30,0,0,0,1.8,-25,134.37,960,-26
2013,1,1,4,30,0,0,0,1.7000000000000002,-25,124.37,960,-27
2013,1,1,5,30,0,0,0,1.7000000000000002,-24,114.26,960,-27
2013,1,1,6,30,0,0,0,1.7000000000000002,-24,104.41,960,-27
2013,1,1,7,30,0,0,0,1.7000000000000002,-23,95.13,960,-26
2013,1,1,8,30,43,20,398,2.1,-22,86.76,960,-26
2013,1,1,9,30,168,44,689,2.8000000000000003,-20,79.69,960,-23
2013,1,1,10,30,116,105,41,3.2,-18,74.35000000000001,960,-22
2013,1,1,11,30,180,134,140,3.2,-16,71.18,960,-20
2013,1,1,12,30,226,129,292,3.1,-14,70.5,960,-18
2013,1,1,13,30,190,119,233,3,-12,72.37,960,-16
2013,1,1,14,30,218,64,665,2.4000000000000004,-12,76.60000000000001,960,-14
2013,1,1,15,30,100,43,454,1.7000000000000002,-12,82.81,960,-14
2013,1,1,16,30,0,0,0,1.7000000000000002,-12,90.54,960,-14
